,X - Focos de queimadas,Y - Area Desmatada
,"6.300,00","373.300,000"
,"6.300,00","1.283.100,000"
,"5.200,00","1.942.600,000"
,"5.200,00","1.322.900,000"
,"3.700,00","1.370.200,000"
,"3.700,00","883.200,000"
,"3.300,00","2.251.400,000"
,"3.300,00","1.188.800,000"
,"1.700,00","493.600,000"
,"1.700,00","1.376.600,000"
,"1.800,00","1.176.600,000"
,"1.600,00","1.010.800,000"
,"2.300,00","538.700,000"
,"2.300,00","1.133.700,000"
,"1.400,00","949.000,000"
,"600,00","648.200,000"
,"700,00","838.300,000"
,"900,00","462.700,000"
,"800,00","999.900,000"
,"700,00","873.700,000"
,"1.100,00","1.211.000,000"
,"1.100,00","779.000,000"
,"1.000,00","650.200,000"
