ANO,AreaD,FocosN
2001,"6.300,00","373.300,000"
2002,"6.300,00","1.283.100,000"
2003,"5.200,00","1.942.600,000"
2004,"5.200,00","1.322.900,000"
2005,"3.700,00","1.370.200,000"
2006,"3.700,00","883.200,000"
2007,"3.300,00","2.251.400,000"
2008,"3.300,00","1.188.800,000"
2009,"1.700,00","493.600,000"
2010,"1.700,00","1.376.600,000"
2011,"1.800,00","1.176.600,000"
2012,"1.600,00","1.010.800,000"
2013,"2.300,00","538.700,000"
2014,"2.300,00","1.133.700,000"
2015,"1.400,00","949.000,000"
2016,"600,00","648.200,000"
2017,"700,00","838.300,000"
2018,"900,00","462.700,000"
2019,"800,00","999.900,000"
2020,"700,00","873.700,000"
2021,"1.100,00","1.211.000,000"
2022,"1.100,00","779.000,000"
2023,"1.000,00","650.200,000"
